NOME FOTO,NOME FILE (NO ESTENZIONE),DESCRIZIONE FOTO,NOME AUTORE,DIMENSIONE FOTO
"Pizunda, Russia",SovietBusStop_Russia_000,,Christopher Herwig,2324 x 1861
"Regione di Almaty, Russia",SovietBusStop_Russia_001,,Christopher Herwig,2105 x 1391
"Tra Krymsk e Anapa, Russia",SovietBusStop_Russia_002,,Christopher Herwig,2294 x 1859
"Bajkal'sk, Russia",SovietBusStop_Russia_003,,Christopher Herwig,2314 x 1863
"Raychikhinsk, Russia",SovietBusStop_Russia_004,,Christopher Herwig,2107 x 1401
"Gelendzhik, Russia",SovietBusStop_Russia_005,,Christopher Herwig,2098 x 1391
"Zolochiv, Russia",SovietBusStop_Russia_006,,Christopher Herwig,2115 x 1403
"Suslongere, Russia",SovietBusStop_Russia_007,,Christopher Herwig,2111 x 1383
"Eupatoria, Russia",SovietBusStop_Russia_008,,Christopher Herwig,2099 x 1389
"Balakovo, Russia",SovietBusStop_Russia_009,,Christopher Herwig,2099 x 1375
"Pereiaslav, Russia",SovietBusStop_Russia_010,,Christopher Herwig,2091 x 1367
"Chornobai, Russia",SovietBusStop_Russia_011,,Christopher Herwig,2089 x 1373
"Saransk, Russia",SovietBusStop_Russia_012,,Christopher Herwig,2111 x 1375
"Saransk, Russia",SovietBusStop_Russia_013,,Christopher Herwig,2107 x 1395
"Saratov, Crimea",SovietBusStop_Crimea_000,,Christopher Herwig,2101 x 1409
"Kiparisnoe, Crimea",SovietBusStop_Crimea_001,,Christopher Herwig,2246 x 1766
"Lugove, Crimea",SovietBusStop_Crimea_002,,Christopher Herwig,4148 x 1401
"Sosnyak, Crimea",SovietBusStop_Crimea_004,,Christopher Herwig,2109 x 1389
"Massandra, Crimea",SovietBusStop_Crimea_005,,Christopher Herwig,4380 x 1587
"Oliva, Crimea",SovietBusStop_Crimea_007,,Christopher Herwig,2117 x 1391
"Karakol, Kazakistan",SovietBusStop_Kazakistan_001,,Christopher Herwig,3217 x 2260
"Akkol, Kazakistan",SovietBusStop_Kazakistan_002,,Christopher Herwig,3229 x 2212
"Astana, Kazakistan",SovietBusStop_Kazakistan_003,,Christopher Herwig,3244 x 2278
"Ordzhonikidze, Kazakistan",SovietBusStop_Kazakistan_004,,Christopher Herwig,3213 x 2233
"Aralsk, Kazakistan",SovietBusStop_Kazakistan_005,,Christopher Herwig,3229 x 2269
"Balykchy, Kazakistan",SovietBusStop_Kazakistan_006,,Christopher Herwig,3196 x 2791
"Taraz, Kazakistan",SovietBusStop_Kazakistan_007,,Christopher Herwig,3211 x 2218
"Shymkent, Kazakistan",SovietBusStop_Kazakistan_008,,Christopher Herwig,3202 x 2254
"Distretto di Batken, Kirghizistan",SovietBusStop_Kirghizistan_001,,Christopher Herwig,3196 x 2200
"Lago Issyk-Kul', Kirghizistan",SovietBusStop_Kirghizistan_002,,Christopher Herwig,3211 x 2266
"Tursunzoda, Tajikistan",SovietBusStop_Tajikistan_001,,Christopher Herwig,3187 x 2272
"Termez, Uzbekistan",SovietBusStop_Uzbekistan_001,,Christopher Herwig,3214 x 2225
"Echmiadzin, Armenia",SovietBusStop_Armenia_001,,Christopher Herwig,5917 x 2409
"Echmiadzin, Armenia",SovietBusStop_Armenia_002,,Christopher Herwig,3205 x 2284
"Lago Sevan, Armenia",SovietBusStop_Armenia_003,,Christopher Herwig,3217 x 2197
"Vanadzor, Armenia",SovietBusStop_Armenia_004,,Christopher Herwig,3211 x 2275
"Saratak, Armenia",SovietBusStop_Armenia_005,,Christopher Herwig,3308 x 2266
"Rustavi, Georgia",SovietBusStop_Georgia_000,,Christopher Herwig,2101 x 1400
"Rustavi, Georgia",SovietBusStop_Georgia_001,,Christopher Herwig,2105 x 1399
"Borjomi, Georgia",SovietBusStop_Georgia_002,,Christopher Herwig,2296 x 1833
"Borjomi, Georgia",SovietBusStop_Georgia_003,,Christopher Herwig,2113 x 1407
"Pizunda, Georgia",SovietBusStop_Georgia_004,,Christopher Herwig,3310 x 2266
"Nuovo Athos, Georgia",SovietBusStop_Georgia_005,,Christopher Herwig,3437 x 2409
"Gagra, Georgia",SovietBusStop_Georgia_006,,Christopher Herwig,3196 x 2266
"Pizunda, Georgia",SovietBusStop_Georgia_007,,Christopher Herwig,3233 x 2203
"Pizunda, Georgia",SovietBusStop_Georgia_008,,Christopher Herwig,3226 x 2212
"Pizunda, Georgia",SovietBusStop_Georgia_009,,Christopher Herwig,3223 x 2266
"Kozhukhivka, Ucraina",SovietBusStop_Ucraina_000,,Christopher Herwig,2115 x 1339
"Kapitanivka, Ucraina",SovietBusStop_Ucraina_001,,Christopher Herwig,2081 x 1405
"Remezivtsi, Ucraina",SovietBusStop_Ucraina_002,,Christopher Herwig,2099 x 1383
"Remezivtsi, Ucraina",SovietBusStop_Ucraina_003,,Christopher Herwig,2105 x 1398
"Shlyakhtyntsi, Ucraina",SovietBusStop_Ucraina_004,,Christopher Herwig,2101 x 1437
"Fălești, Moldavia",SovietBusStop_Moldova_001,,Christopher Herwig,3184 x 2269
"Kootsi, Lituania",SovietBusStop_Lituania_001,,Christopher Herwig,3202 x 2188
"Krikštėnai, Lituania",SovietBusStop_Lituania_002,,Christopher Herwig,3196 x 2254
"Marijampolė, Lituania",SovietBusStop_Lituania_003,,Christopher Herwig,3196 x 2251
"Kärevere, Estonia",SovietBusStop_Estonia_001,,Christopher Herwig,3235 x 2227
